"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 19 21:30:57 GMT 2024","Thu Sep 19 21:30:58 GMT 2024","157","test.Cuentas","test_list_account","","","","test_list_accounts_order_invalid",""
"broken","Thu Sep 19 21:31:17 GMT 2024","Thu Sep 19 21:31:17 GMT 2024","0","test.Cuentas","test_view_account","","","","test_view_account_incorrect_authorization",""
"passed","Thu Sep 19 21:30:50 GMT 2024","Thu Sep 19 21:30:50 GMT 2024","147","test.Contactos","test_view_contact","","","","test_view_contact_incorrect_authorization",""
"passed","Thu Sep 19 21:30:35 GMT 2024","Thu Sep 19 21:30:35 GMT 2024","259","test.Contactos","test_add_contact","","","","test_add_contact",""
"passed","Thu Sep 19 21:31:05 GMT 2024","Thu Sep 19 21:31:05 GMT 2024","179","test.Cuentas","test_list_account","","","","test_list_accounts_maxsize_major_total",""
"skipped","Thu Sep 19 21:30:46 GMT 2024","Thu Sep 19 21:30:46 GMT 2024","182","test.Contactos","test_list_contacts","","","","test_list_contacts_maxsize_negative",""
"passed","Thu Sep 19 21:30:51 GMT 2024","Thu Sep 19 21:30:51 GMT 2024","172","test.Cuentas","test_add_account","","","","test_add_account_name_null",""
"passed","Thu Sep 19 21:30:46 GMT 2024","Thu Sep 19 21:30:46 GMT 2024","187","test.Contactos","test_list_contacts","","","","test_list_contacts_maxsize_cero",""
"passed","Thu Sep 19 21:30:46 GMT 2024","Thu Sep 19 21:30:47 GMT 2024","189","test.Contactos","test_list_contacts","","","","test_list_contacts_offset_major_total",""
"passed","Thu Sep 19 21:31:02 GMT 2024","Thu Sep 19 21:31:02 GMT 2024","186","test.Cuentas","test_list_account","","","","test_list_accounts_select_unknown",""
"passed","Thu Sep 19 21:30:35 GMT 2024","Thu Sep 19 21:30:36 GMT 2024","472","test.Contactos","test_add_contact","","","","test_add_contact_duplicate_name",""
"skipped","Thu Sep 19 21:31:13 GMT 2024","Thu Sep 19 21:31:13 GMT 2024","171","test.Cuentas","test_list_account","","","","test_list_accounts_offset_negative",""
"broken","Thu Sep 19 21:31:17 GMT 2024","Thu Sep 19 21:31:17 GMT 2024","0","test.Cuentas","test_view_account","","","","test_view_account_correct",""
"passed","Thu Sep 19 21:31:06 GMT 2024","Thu Sep 19 21:31:06 GMT 2024","173","test.Cuentas","test_list_account","","","","test_list_accounts_maxsize_cero",""
"passed","Thu Sep 19 21:30:45 GMT 2024","Thu Sep 19 21:30:45 GMT 2024","322","test.Contactos","test_list_contacts","","","","test_list_contacts_without_select",""
"passed","Thu Sep 19 21:30:49 GMT 2024","Thu Sep 19 21:30:49 GMT 2024","204","test.Contactos","test_view_contact","","","","test_view_contact_correct",""
"passed","Thu Sep 19 21:31:11 GMT 2024","Thu Sep 19 21:31:11 GMT 2024","180","test.Cuentas","test_list_account","","","","test_list_accounts_offset_cero",""
"skipped","Thu Sep 19 21:30:37 GMT 2024","Thu Sep 19 21:30:37 GMT 2024","0","test.Contactos","test_add_contact","","","","test_add_contact_firstName_null",""
"passed","Thu Sep 19 21:30:48 GMT 2024","Thu Sep 19 21:30:48 GMT 2024","110","test.Contactos","test_view_contact","","","","test_view_contact_incorrect_http_method",""
"passed","Thu Sep 19 21:30:37 GMT 2024","Thu Sep 19 21:30:37 GMT 2024","228","test.Contactos","test_add_contact","","","","test_add_contact_address_null",""
"passed","Thu Sep 19 21:30:59 GMT 2024","Thu Sep 19 21:30:59 GMT 2024","186","test.Cuentas","test_list_account","","","","test_list_accounts_order_desc",""
"passed","Thu Sep 19 21:30:47 GMT 2024","Thu Sep 19 21:30:47 GMT 2024","173","test.Contactos","test_list_contacts","","","","test_list_contacts_ordeby_unknown",""
"passed","Thu Sep 19 21:30:52 GMT 2024","Thu Sep 19 21:30:52 GMT 2024","165","test.Cuentas","test_delete_account","","","","test_delete_account_nonexistent_contact",""
"broken","Thu Sep 19 21:30:53 GMT 2024","Thu Sep 19 21:30:53 GMT 2024","0","test.Cuentas","test_edit_account","","","","test_edit_account_all_data",""
"passed","Thu Sep 19 21:30:35 GMT 2024","Thu Sep 19 21:30:35 GMT 2024","176","test.Autenticacion","test_login","","","","test_disabled_user_login",""
"passed","Thu Sep 19 21:31:03 GMT 2024","Thu Sep 19 21:31:03 GMT 2024","191","test.Cuentas","test_list_account","","","","test_list_accounts_select_special",""
"skipped","Thu Sep 19 21:30:54 GMT 2024","Thu Sep 19 21:30:54 GMT 2024","1","test.Cuentas","test_edit_account","","","","test_edit_account_addressShipping_invalid",""
